id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2020-09-20T16:08:25;payment unleash Jamaican Dollar;1
2;Rest;2020-09-21T11:24:55;Plains;2
3;Quality Plastic plum;2020-09-20T15:45:17;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2020-09-21T12:12:29;Architect SSL;4
5;zero tolerance;2020-09-21T09:08:48;user-facing CSS;5
6;ADP Ouguiya;2020-09-21T05:05:16;Garden;6
7;auxiliary;2020-09-21T13:21:16;functionalities Bedfordshire withdrawal;7
8;Data;2020-09-20T16:19:17;Viaduct hybrid;8
9;mesh;2020-09-21T14:44:56;human-resource Shoes Wooden;9
10;calculate value-added Metal;2020-09-21T12:43:50;Re-engineered withdrawal Ball;10
